city_name,ballot_code,party_avoda,party_shahar_kalkali_hadash,party_bayit_yehudi,party_agudat_israel,party_daled,party_vavmem,party_shahar_koach_hevrati,party_kama,party_koach_lehashpia,party_tzomet,party_tet,party_israel_hofshit_demokratit,party_hakalkalit_hahadasha,party_ichud_bnei_habrit,party_tzav_hashaa,party_hagush_hatana'chi,party_kahol_lavan,party_ani_veata,party_israel_beitenu,party_likud,party_meretz,party_kavod_haadam,party_nativ,party_shma,party_haatzmaim_hachadashim,party_yesh_kivun,party_anachnu,party_raam,party_yesh_atid,party_pesofit,party_tze'irim_bo'arim,party_manhigut_hevratit,party_kol_hasviva_vehachai,party_halev_hayehudi,party_seder_chadash,party_kol,party_beometz_bishvilech,party_kavod_umasoret,party_shas,party_daat_tov_vera
אבו סנאן,1.2,0,0,1,0,27,86,0,0,0,0,0,1,0,0,0,0,8,0,11,3,2,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,2,0,1,0
אבו סנאן,5.1,3,0,1,0,42,151,0,0,0,0,0,0,0,0,1,0,39,0,15,14,6,0,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0
אבו סנאן,5.2,3,0,0,0,46,111,0,0,0,0,0,0,0,3,0,0,4,0,5,3,4,0,0,0,1,0,0,71,8,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,5.3,1,0,0,0,43,117,0,0,0,0,0,0,0,0,0,0,17,0,12,21,2,0,0,0,1,0,0,57,1,0,0,0,0,1,0,0,1,0,0,0
אבו סנאן,8.1,2,0,0,0,23,206,0,0,0,0,0,0,0,0,0,0,7,0,12,22,2,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0
אבו סנאן,8.2,1,0,0,0,13,119,0,0,0,0,2,1,0,0,0,0,39,0,22,32,2,0,0,0,0,0,0,40,5,0,0,1,0,0,0,2,1,0,1,0
אבו סנאן,8.3,0,0,0,0,35,132,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0
אבו סנאן,9.1,2,0,0,0,61,96,0,0,0,0,0,1,0,0,0,0,17,0,13,9,10,0,0,0,0,1,0,51,10,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,9.2,0,0,0,0,30,88,1,0,0,0,0,0,0,0,0,0,39,0,22,31,8,0,0,0,0,1,0,40,11,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,9.3,1,0,0,0,23,70,2,0,0,0,0,0,0,0,0,0,13,0,18,24,2,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,11.1,1,0,0,0,65,122,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,73,1,0,0,1,0,1,0,0,0,0,1,1
אבו סנאן,11.2,0,0,0,0,46,70,0,0,0,0,0,0,0,0,0,0,17,0,13,24,5,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,11.3,5,0,1,0,12,56,0,0,0,0,1,0,0,0,0,1,29,0,37,35,7,1,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0
אבו סנאן,13.1,3,0,0,0,31,198,0,0,0,0,0,1,0,1,0,0,21,1,19,26,1,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,0
אבו סנאן,13.2,0,0,0,0,36,81,0,0,0,0,1,0,0,0,0,0,31,1,18,17,2,0,0,0,0,1,0,114,7,0,0,0,0,0,1,0,2,0,1,0
אבו סנאן,13.3,3,0,0,0,19,71,1,1,1,0,1,0,0,0,0,0,37,0,36,52,7,0,0,0,2,0,0,57,17,0,0,1,0,0,0,0,0,0,4,0
אבו סנאן,13.4,6,0,0,0,26,32,0,0,0,0,1,0,0,0,0,0,39,0,72,61,4,0,0,0,1,0,0,68,30,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,13.5,1,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0,30,0,25,15,11,0,0,0,0,0,0,53,24,0,0,0,0,0,0,3,1,0,1,0
אבו עבדון שבט,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
אבו קורינאת שבט,5.1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,177,3,0,0,0,0,0,1,0,0,0,1,0
אבו קורינאת שבט,5.2,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0
אבו קורינאת שבט,5.3,0,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,246,0,0,0,1,0,0,0,1,0,0,2,0
אבו קורינאת שבט,5.4,1,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,288,0,0,0,0,0,0,1,0,0,0,0,0
אבו קורינאת שבט,5.5,1,0,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,195,0,1,0,0,0,0,0,0,0,0,0,0
אבו קרינאת יישוב,1.1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,165,7,0,1,0,0,0,0,0,0,0,0,0
אבו קרינאת יישוב,1.2,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,0,0,0,0,0,0,1,0,0,0,0
אבו רובייעה שבט,5.1,4,0,0,1,2,9,0,0,0,0,0,0,1,0,0,0,1,0,2,7,2,0,0,0,0,0,1,161,3,0,0,0,0,2,0,0,0,0,0,0
אבו רובייעה שבט,5.2,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,1,0,7,2,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0,0
אבו רובייעה שבט,5.3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,185,2,0,0,0,0,0,1,0,0,0,0,0
אבו רובייעה שבט,5.4,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,169,1,0,0,0,0,0,0,0,0,0,1,0
אבו רובייעה שבט,5.5,1,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,145,1,1,1,1,1,0,0,1,0,1,2,0
אבו רובייעה שבט,6.1,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,156,0,0,1,0,0,0,0,1,0,0,2,0
אבו רובייעה שבט,6.2,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,0,0,1,0,0
אבו רובייעה שבט,6.3,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,1,0,0,129,0,0,0,1,0,0,0,0,0,0,1,0
אבו רוקייק שבט,1.1,0,0,0,0,10,69,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0
אבו רוקייק שבט,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,189,0,0,0,0,0,0,0,2,1,1,0,0
אבו רוקייק שבט,1.3,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,255,0,0,0,0,0,0,0,0,2,0,0,0
אבו רוקייק שבט,1.4,0,0,0,0,8,156,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,3,0,1,0,0,1,0,0,0,0,1,0
אבו רוקייק שבט,1.5,0,0,0,0,9,68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221,1,0,1,0,0,0,0,0,0,0,0,0
אבו רוקייק שבט,1.6,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,0,0,0,1,0
אבו רוקייק שבט,1.7,0,0,0,0,4,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,204,1,0,1,0,0,1,0,0,0,0,0,0
אבו רוקייק שבט,1.8,0,0,0,0,3,33,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0
אבו תלול,1,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0
אבו תלול,2,0,0,0,0,1,83,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
אבטין,1,1,0,0,0,11,70,0,0,0,0,1,0,0,0,0,0,2,0,18,4,1,0,0,0,0,0,0,137,2,0,0,0,0,0,0,0,1,0,2,0
אבטין,2,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0
אבטין,3.1,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,138,4,0,0,0,0,0,0,0,0,0,1,0
אבטין,3.2,0,0,0,0,16,27,0,0,0,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,134,6,0,0,0,0,0,1,0,0,0,0,0
אבטליון,1,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0
אביאל,1,36,0,2,2,1,3,0,0,0,0,17,0,0,0,0,0,77,0,3,71,46,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,15,0,2,0
אביבים,1,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
אביגדור,1,38,1,3,1,0,0,0,0,0,0,31,0,0,0,0,0,100,0,1,52,26,0,1,0,0,0,0,1,218,0,1,0,0,0,0,0,0,0,9,0
אביחיל,1,27,0,1,0,1,1,0,0,0,0,18,0,1,0,0,0,48,0,7,34,31,0,0,0,0,0,0,1,100,0,0,0,1,0,0,0,4,0,0,0
אביחיל,2,41,2,0,0,0,2,0,0,0,0,10,0,2,1,0,0,68,0,10,64,37,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,10,0,2,0
אביטל,1,2,0,7,6,0,0,0,0,0,0,86,0,1,0,0,0,33,0,2,154,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0
אביעזר,1,37,4,2,1,1,7,0,0,0,0,65,1,2,0,0,0,60,0,13,174,21,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,2,0,16,0
אבירים,1,29,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,12,0,4,6,38,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0
אבן יהודה,1.1,13,0,5,5,0,0,0,0,0,0,34,0,2,0,0,0,63,0,3,134,21,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,1,0,15,0
אבן יהודה,1.2,16,1,5,4,0,0,0,0,0,0,55,0,1,0,0,0,52,0,6,167,15,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,2,0,16,0
אבן יהודה,1.3,14,3,6,5,0,0,0,0,0,0,68,0,2,0,0,0,56,0,12,149,9,0,0,0,0,0,0,0,77,0,2,0,0,0,0,0,0,0,19,0
אבן יהודה,2,20,1,2,2,0,0,0,0,0,0,29,0,2,0,0,0,61,0,7,118,12,0,0,0,0,1,0,0,128,0,1,0,1,0,0,0,4,1,26,0
אבן יהודה,3,37,2,8,0,0,3,0,0,0,0,13,0,0,0,0,0,97,0,23,74,32,0,1,0,0,0,0,1,257,0,0,0,2,0,0,0,0,0,3,0
אבן יהודה,5,24,0,6,2,0,1,0,0,0,0,45,0,1,0,0,0,65,0,1,104,24,0,0,0,0,0,0,1,151,0,2,0,0,0,2,0,2,0,9,0
אבן יהודה,6,36,0,0,1,0,2,0,0,0,0,23,0,2,0,0,0,87,0,9,82,27,0,0,0,0,0,0,1,255,0,1,0,0,0,0,0,3,0,2,0
אבן יהודה,9.1,41,3,0,0,0,0,0,0,0,0,16,0,2,0,0,0,80,0,5,76,22,0,0,0,0,0,0,0,211,0,1,0,0,0,0,0,4,0,3,0
אבן יהודה,9.2,50,1,3,0,0,1,0,0,0,0,9,0,1,0,0,0,66,0,8,66,30,0,0,0,0,0,0,0,209,0,1,0,0,0,0,0,1,0,3,0
אבן יהודה,9.3,30,1,0,1,0,1,0,0,0,0,14,3,4,0,0,0,79,0,10,59,19,0,0,0,0,0,0,1,220,0,1,0,0,0,0,0,4,0,2,0
אבן יהודה,9.4,33,1,2,3,0,0,0,0,0,0,21,0,1,0,0,0,73,0,5,55,31,0,1,0,0,0,0,1,220,0,0,0,0,0,0,0,1,0,1,0
אבן יהודה,9.5,42,0,1,1,2,0,0,0,0,0,19,0,0,0,0,0,82,0,8,73,29,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,3,0,5,0
אבן יהודה,9.6,40,0,2,0,0,0,0,0,0,0,11,2,2,0,0,0,83,0,13,48,31,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,1,0,3,0
אבן יהודה,10,29,0,5,1,0,1,0,0,0,0,30,0,1,0,0,0,61,0,7,105,19,0,0,0,0,0,0,0,183,0,2,0,1,0,0,0,6,0,7,0
אבן יהודה,11,33,0,3,0,0,3,0,0,0,0,9,0,1,0,0,0,45,0,4,75,22,0,0,0,0,0,0,2,174,0,1,1,0,0,0,1,1,0,2,0
אבן יהודה,12,42,0,8,1,0,2,0,0,0,0,10,0,0,0,0,0,63,0,10,80,48,0,0,0,0,0,0,1,228,0,0,0,0,0,0,0,2,0,8,0
אבן יהודה,17,40,1,3,0,0,0,0,0,0,0,10,0,1,0,0,0,65,0,11,44,19,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,2,0,2,0
אבן מנחם,1,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,1,89,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,33,0
אבן ספיר,1,12,1,4,3,0,0,0,0,0,0,42,0,1,0,0,0,48,0,2,181,10,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,3,0,18,1
אבן שמואל,1,2,0,22,9,0,0,0,0,0,0,241,0,0,0,0,0,11,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32,0
אבן שמואל,2,2,0,22,5,0,0,0,0,0,0,241,0,0,0,0,0,8,0,0,139,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,54,0
אבני איתן,1,0,2,28,1,0,0,0,0,0,0,206,0,1,0,0,0,17,0,3,47,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,6,0
אבני חפץ,4.1,0,0,11,2,0,0,0,0,0,0,369,0,2,0,0,0,4,0,0,81,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,53,0
אבני חפץ,4.2,0,0,12,8,0,0,0,0,0,0,356,0,0,0,0,0,3,0,0,91,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,45,0
אבשלום,1,3,0,0,2,1,0,0,0,0,0,33,0,1,0,1,0,19,0,49,47,10,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0
אדורה,1,1,0,11,1,0,0,0,0,0,0,109,0,0,0,0,0,18,0,4,43,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0
אדירים,1,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0
אדמית,1,26,2,2,0,2,4,0,0,0,0,11,0,0,0,0,0,20,0,10,37,35,0,0,0,0,0,0,4,49,0,1,0,0,0,0,0,1,0,0,1
אדרת,1,10,1,18,2,0,0,0,0,0,0,95,0,0,0,0,0,35,0,2,202,3,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,49,0
אודים,1,33,0,1,0,0,0,0,0,0,0,10,0,3,0,0,0,41,0,10,33,25,0,0,0,0,0,0,0,131,0,1,0,0,0,0,0,1,0,3,0
אודים,2,34,0,3,1,0,3,0,0,0,0,9,0,2,0,0,0,51,0,4,36,31,0,2,0,0,0,0,0,140,0,0,0,0,0,0,0,3,0,3,0
אודם,1,10,1,3,0,0,0,2,0,0,0,7,1,0,0,0,0,19,0,1,17,2,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,4,0,0,0
אוהד,1,15,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,35,0,4,78,3,0,0,0,0,0,0,3,30,0,2,0,0,0,0,0,0,0,6,0
אום אלפחם,7.1,0,0,0,0,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,7.2,1,0,0,0,55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0
אום אלפחם,10,3,0,0,0,116,120,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,144,0,0,0,1,0,0,0,0,0,0,0,0
אום אלפחם,11,3,0,0,0,91,127,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,42,0,1,0,2,0,0,0,0,0,0,1,0
אום אלפחם,12,0,0,0,2,67,68,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,14,5,0,0,0,84,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0
אום אלפחם,16.1,0,0,0,0,102,106,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,16.2,1,0,0,0,109,106,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,46,1,0,0,1,0,0,1,0,0,0,0,1
אום אלפחם,16.3,1,0,0,0,89,100,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,1,0
אום אלפחם,16.4,2,0,0,0,108,110,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,31,0,0,0,1,0,0,0,0,0,0,0,1
אום אלפחם,16.5,0,0,0,1,90,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0
אום אלפחם,18.1,1,0,0,0,58,90,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,26,0,0,0,1,0,0,1,0,1,0,0,0
אום אלפחם,18.2,0,0,0,0,48,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0
אום אלפחם,18.3,0,0,0,0,63,79,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0
אום אלפחם,20,0,0,0,0,76,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,22.1,0,0,0,0,94,125,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0
אום אלפחם,22.2,0,0,0,1,91,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0
אום אלפחם,23.1,0,0,0,2,114,97,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,0,2,1,1,0,0,0,1,3,0
אום אלפחם,23.2,2,1,0,0,117,106,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,46,1,0,0,1,0,0,0,0,1,0,1,0
אום אלפחם,23.3,0,0,0,0,112,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,0
אום אלפחם,26.1,0,0,1,1,68,77,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,26.2,1,0,1,0,62,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,46,1,0,0,2,0,0,0,0,0,0,1,0
אום אלפחם,26.3,1,0,0,0,48,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,30,0,0,1,1,0,0,0,0,0,0,0,0
אום אלפחם,27,0,0,0,0,50,100,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,1,0
אום אלפחם,31,0,0,0,0,89,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0
אום אלפחם,32.1,2,0,0,0,115,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,1
אום אלפחם,32.2,1,0,0,0,99,75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,1,0,1
אום אלפחם,32.3,0,0,0,0,107,127,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,1
אום אלפחם,33,2,1,0,1,79,162,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0
אום אלפחם,34.1,1,0,0,0,108,80,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,24,0,0,0,2,0,0,0,0,0,0,1,0
אום אלפחם,34.2,0,1,0,0,106,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,52,2,1,0,1,0,0,0,0,0,0,0,0
אום אלפחם,37,0,1,0,0,73,71,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0
אום אלפחם,39,1,0,0,0,63,66,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,58,1,0,0,0,0,0,0,0,0,0,2,0
אום אלפחם,42,0,0,0,0,88,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,1,0
אום אלפחם,43.1,0,0,0,0,107,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,33,2,0,0,0,1,0,0,0,0,0,2,0
אום אלפחם,43.2,1,1,0,0,103,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,43.3,0,0,1,0,71,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,45,0,0,0,2,0,0,0,0,0,0,0,0
אום אלפחם,43.4,0,1,0,0,128,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
אום אלפחם,44.1,1,0,0,2,120,93,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,39,0,0,0,1,0,0,0,0,0,0,3,1
אום אלפחם,44.2,0,0,0,3,98,104,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0
